Rank,College_Name,Location
332,Dev Sanskriti Vishwavidyalaya,Shantikunj
333,Shri Mata Vaishno Devi University,Katra
334,Central University of Kerala,Kasaragod
335,Pandit Deendayal Upadhyaya Shekhawati University,Sikar
336,Central University of Haryana,Mahendragarh
337,National Dairy Research Institute,Karnal
338,"National Institute of Technology, Agartala",Agartala
339,Invertis University,Bareilly
340,Adamas University,Barasat
341,Maharishi Dayanand University,Rohtak
342,Indian Maritime University,Chennai
343,Shri Ramswaroop Memorial University,Barabanki
344,Chhattisgarh Swami Vivekananda Technical University,Bhilai
345,Vinoba Bhave University,Hazaribag
346,Dr. M.G.R. Educational and Research Institute,Chennai
347,Islamic University of Science and Technology,Pulwama
348,The Gandhigram Rural Institute,Gandhigram
349,Madan Mohan Malaviya University of Technology,Gorakhpur
350,Sri Sathya Sai Institute of Higher Learning,Anantapur
351,"Jawaharlal Nehru Technological University, Anantapur",Anantapur
352,Vels Institute of Science Technology and Advanced Studies,Chennai
353,Central University of Kashmir,Srinagar
354,CMR University,Bangalore
355,Junagadh Agricultural University,Junagadh
356,The Northcap University,Gurgaon
357,Poornima University,Jaipur
358,Dr. Rajendra Prasad Central Agricultural University,Samastipur
359,Central University of South Bihar,Patna
360,IFHE Hyderabad,Hyderabad
361,Ravenshaw University,Cuttack
362,K.R. Mangalam University,Gurgaon
363,Rashtriya Raksha University,Gandhinagar
364,Nagaland University,Kohima
365,Chaudhary Charan Singh Haryana Agricultural University,Hisar
366,Indira Gandhi Krishi Vishwavidyalaya,Raipur
367,Presidency University,Bangalore
368,University of Kota,Kota
369,Vignan University,Guntur
370,Guru Jambheshwar University of Science and Technology,Hisar
371,Sarguja University,Ambikapur
372,Bidhan Chandra Krishi Viswavidyalaya,Mohanpur
373,ITM University Gwalior,Gwalior
374,Dr. N.T.R. University of Health Sciences,Vijayawada
375,Deenbandhu Chhotu Ram University of Science and Technology,Murthal
376,Ganpat University,Mehsana
377,Thiruvalluvar University,Vellore
378,Kalasalingam Academy of Research and Education,Krishnankoil
379,Swami Vivekananda Yoga Anusandhana Samsthana,Bangalore
380,Lingaya's University,Faridabad
381,Rama University,Kanpur
382,Central University of Gujarat,Gandhinagar
383,Geetanjali University,Udaipur
384,Vinayaka Mission's Research Foundation,Salem
385,RK University,Rajkot
386,B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai
387,Magadh University,Bodh Gaya
388,Gujarat Vidyapith,Ahmedabad
389,Aryabhatta Knowledge University,Patna
390,Karnatak University,Dharwad
391,"National Institute of Technology, Goa",Farmagudi
392,"National Institute of Technology, Puducherry",Karaikal
393,Vishwakarma University,Pune
394,National Institute of Technology Delhi,New Delhi
395,Navsari Agricultural University,Navsari
396,Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak
397,Sido Kanhu Murmu University,Dumka
398,Maharaja Ganga Singh University,Bikaner
399,Vikram University,Ujjain
400,National Institute of Food Technology Entrepreneurship and Management,Sonipat
401,GLA University,Chaumuhan
402,Harcourt Butler Technical University,Kanpur
403,Assam Down Town University,Guwahati
404,The Indian Law Institute,New Delhi
405,Vivekananda Global University,Jaipur
406,Janardan Rai Nagar Rajasthan Vidhyapeeth University,Udaipur
407,CSK Himachal Pradesh Krishi Vishvavidyalaya,Palampur
408,"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",Mohali
409,J.C. Bose University of Science and Technology,Faridabad
410,Sri Venkateswara University,Tirupati
411,Uttaranchal University,Dehradun
412,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar
413,GD Goenka University,Gurgaon
414,KLE Technological University,Hubli
415,Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar
416,Kakatiya University,Warangal
417,Sher-i-Kashmir Institute of Medical Sciences,Srinagar
418,Patna University,Patna
419,"University of Agricultural Sciences, Dharwad",Dharwad
420,Rishihood University,Sonipat
421,"Jawaharlal Nehru Technological University, Kakinada",Kakinada
422,Pravara Institute of Medical Sciences,Loni
423,Dr. Y.S. Parmar University of Horticulture and Forestry,Nauni
424,Karpagam Academy of Higher Education,Coimbatore
425,Central University of Himachal Pradesh,Kangra
426,Shree Guru Gobind Singh Tricentenary University,Gurgaon
427,"National Institute of Technology, Arunachal Pradesh",Yupia
428,Homi Bhabha National Institute,Mumbai
429,The IIS University,Jaipur
430,The National University of Advanced Legal Studies,Kochi
431,NIMS University,Jaipur
432,Hidayatullah National Law University,Raipur
433,JECRC University,Jaipur
434,Bhakta Kavi Narsinh Mehta University,Khadia
435,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
436,Central University of Karnataka,Gulbarga
437,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
438,Kazi Nazrul University,Asansol
439,Ramakrishna Mission Vivekananda Educational and Research Institute,Belur
440,Ajeenkya D.Y. Patil University,Pune
441,Nizam's Institute of Medical Sciences,Hyderabad
442,LNCT University,Bhopal
443,North Eastern Regional Institute of Science and Technology,Itanagar
444,"Indira Gandhi University, Meerpur",Rewari
445,Odisha University of Agriculture and Technology,Bhubaneswar
446,Sant Longowal Institute of Engineering and Technology,Sangrur
447,Uttar Pradesh University of Medical Sciences,Saifai
448,Indira Gandhi Delhi Technical University for Women,New Delhi
449,Anant National University,Ahmedabad
450,Central University of Jammu,Jammu
451,"Mahatma Gandhi University, Nalgonda",Nalgonda
452,Maharshi Dayanand Saraswati University,Ajmer
453,Mahatma Phule Krishi Vidyapeeth,Rahuri
454,Himachal Pradesh Technical University,Hamirpur
455,University of Gour Banga,Malda
456,Shri Venkateshwara University,Gajraula
457,Central Agricultural University,Imphal
458,Berhampur University,Berhampur
459,Chaudhary Devi Lal University,Sirsa
460,Karnavati University,Gandhinagar
461,"Chitkara University, Himachal Pradesh",Kalujhanda
462,National Sanskrit University,Tirupati
463,Aliah University,Kolkata
464,Chaudhary Bansi Lal University,Bhiwani
465,Rajiv Gandhi University of Knowledge Technologies,Hyderabad
466,Sri Balaji Vidyapeeth,Puducherry
467,Dharmsinh Desai University,Nadiad
468,Assam Science and Technology University,Guwahati
469,Cotton University,Guwahati
470,Kerala Veterinary and Animal Sciences University,Pookode
471,Adikavi Nannaya University,Rajahmundry
472,Central Institute of Fisheries Education,Mumbai
473,Central Institute of Higher Tibetan Studies,Varanasi
474,Kalinga University,Raipur
475,Chanakya National Law University,Patna
476,Charotar University of Science and Technology,Anand
477,Babu Banarasi Das University,Lucknow
478,Gurukul Kangri Vishwavidyalaya,Haridwar
479,Rajiv Gandhi National University of Law,Patiala
480,National Law University Odisha,Cuttack
481,National Institute of Technology Mizoram,Aizawl
482,SRM University Haryana,Sonipat
483,National Institute of Technology Sikkim,Ravangla
484,Sandip University,Nashik
485,Sri Sri University,Cuttack
486,JK Lakshmipat University,Jaipur
487,Nanaji Deshmukh Veterinary Science University,Jabalpur
488,Bihar Agricultural University,Bhagalpur
489,Shobhit Institute of Engineering and Technology,Meerut
490,Bodoland University,Kokrajhar
491,Indira Gandhi National Tribal University,Amarkantak
492,Uka Tarsadia University,Bardoli
493,Mody University of Science and Technology,Lakshmangarh
494,Cooch Behar Panchanan Barma University,Cooch Behar
495,Tamil Nadu Dr Ambedkar Law University,Chennai
496,Sidho Kanho Birsha University,Purulia
497,"School of Planning and Architecture, Vijayawada",Vijayawada
498,"Indian Institute of Information Technology, Vadodara",Gandhinagar
499,Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,Dapoli
500,Maharaja Chhatrasal Bundelkhand University,Chhatarpur
501,Lakshmibai National Institute of Physical Education,Gwalior
502,Tilak Maharashtra Vidyapeeth,Pune
503,IIHMR University,Jaipur
504,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Akola
505,Veer Kunwar Singh University,Arrah
506,Maharashtra Animal and Fishery Sciences University,Nagpur
507,Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
508,Datta Meghe Institute of Higher Education & Research,Nagpur
509,Jai Narain Vyas University,Jodhpur
510,"School of Planning and Architecture, Bhopal",Bhopal
511,"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad
512,Punyashlok Ahilyadevi Holkar Solapur University,Solapur
513,Chaudhary Ranbir Singh University,Jind
514,Gulbarga University,Gulbarga
515,Swami Rama Himalayan University,Dehradun
516,Sardarkrushinagar Dantiwada Agricultural University,Palanpur
517,Kadi Sarva Vishwavidyalaya,Gandhinagar
518,"Indian Institute of Information Technology, Guwahati",Guwahati
519,Gondwana University,Gadchiroli
520,Hemwati Nandan Bahuguna Uttarakhand Medical Education University,Dehradun
521,Mewar University,Chittorgarh
522,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
523,"National Institute of Technology, Nagaland",Dimapur
524,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi
525,Jharkhand Rai University,Ranchi
526,Avantika University,Ujjain
527,Awadhesh Pratap Singh University,Rewa
528,Sushant University,Gurgaon
529,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
530,National Law University and Judicial Academy,Guwahati
531,Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
532,Techno India University,Kolkata
533,Jagannath University,Jaipur
534,Mother Teresa Women's University,Kodaikanal
535,Indira Gandhi Institute of Medical Sciences,Patna
536,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
537,Uttar Banga Krishi Viswavidyalaya,Pundibari
538,Indus University,Ahmedabad
539,"Maharashtra National Law University, Nagpur",Nagpur
540,"National Institute of Technology, Uttarakhand",Srinagar
541,GSFC University,Vadodara
542,Rayalaseema University,Kurnool
543,Bhupendra Narayan Mandal University,Madhepura
544,Periyar Maniammai Institute of Science and Technology,Vallam
545,Deccan College Post-Graduate and Research Institute,Pune
546,Central University of Odisha,Koraput
547,Guru Kashi University,Talwandi Sabo
548,Sree Sankaracharya University of Sanskrit,Kalady
549,"National Institute of Technology, Manipur",Imphal
550,Navrachana University,Vadodara
551,Sri Siddhartha Academy of Higher Education,Tumkur
552,Sri Dev Suman Uttarakhand University,Badshahithaul
553,Rabindranath Tagore University,Mendua Village
554,Guru Ravidas Ayurved University,Hoshiarpur
555,Rajiv Gandhi National Institute of Youth Development,Sriperumbudur
556,Sankalchand Patel University,Visnagar
557,Dr. Ram Manohar Lohiya National Law University,Lucknow
558,Sir Padampat Singhania University,Udaipur
559,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior
560,Birsa Agricultural University,Ranchi
561,Shri Guru Ram Rai University,Dehradun
562,Maharaja Surajmal Brij University,Bharatpur
563,Tilka Manjhi Bhagalpur University,Bhagalpur
564,MIT Art Design and Technology University,Pune
565,University of Trans-Disciplinary Health Sciences and Technology,Bangalore
566,Krishna Vishwa Vidyapeeth,Karad
567,Davangere University,Davangere
568,"Indian Institute of Information Technology, Sri City",Sri City
569,"Rani Channamma University, Belagavi",Belagavi
570,Professor Jayashankar Telangana State Agricultural University,Hyderabad
571,Symbiosis University of Applied Sciences,Indore
572,Sanskriti University,Mathura
573,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad
574,Maharana Pratap University of Agriculture and Technology,Udaipur
575,P P Savani University,Kosamba
576,Yogi Vemana University,Kadapa
577,"Mahatma Gandhi Central University, Motihari",Motihari
578,"ICFAI University, Tripura",Agartala
579,St. Xavier's University,Kolkata
580,Arunachal University of Studies,Namsai
581,Motherhood University,Bhagwanpur
582,Siddharth University,Kapilvastu
583,Sri Padmavati Mahila Visvavidyalayam,Tirupati
584,Sri Satya Sai University of Technology and Medical Sciences,Sehore
585,Doon University,Dehradun
586,Krishna University,Machilipatnam
587,U.P. Pt. Deen Dayal Upadhyaya Veterinary Science University and Cattle Research Institute,Mathura
588,"Indian Institute of Information Technology, Una",Una
589,Indian Institute of Teacher Education,Gandhinagar
590,Kolhan University,Chaibasa
591,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar
592,"Institute of Infrastructure, Technology, Research and Management",Ahmedabad
593,Kaziranga University,Jorhat
594,BLDE University,Bijapur
595,"University of Science and Technology, Meghalaya",Baridua
596,Karnataka State Law University,Hubli
597,RIMT University,Mandi Gobindgarh
598,Avinashilingam Institute for Home Science and Higher Education for Women,Coimbatore
599,AURO University,Surat
600,MATS University,Aarang
601,Arka Jain University,Gamharia
602,Singhania University,Jhunjhunu
603,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam
604,Dravidian University,Kuppam
605,Swami Vivekanand University,Sagar
606,National University of Study and Research in Law,Ranchi
607,Glocal University,Saharanpur
608,Govind Guru Tribal University,Banswara
609,Rai University,Ahmedabad
610,Banda University of Agriculture and Technology,Banda
611,AKS University,Satna
