Rank,College_Name,Location
753,"Maharashtra National Law University, Aurangabad",Aurangabad
754,Adesh University,Bathinda
755,Shridhar University,Pilani
756,Nehru Gram Bharati Vishwavidyalaya,Allahabad
757,Era University,Lucknow
758,Sampurnanand Sanskrit Vishvavidyalaya,Varanasi
759,Children's University,Gandhinagar
760,"SRM University, Sikkim",Gangtok
761,Mahatma Jyoti Rao Phoole University,Jaipur
762,Diamond Harbour Women's University,Sarisha
763,"Mahatma Gandhi University, Meghalaya",Khanapara
764,Karnataka State Akkamahadevi Women's University,Bijapur
765,Oriental University,Indore
766,Rani Lakshmi Bai Central Agricultural University,Jhansi
767,Akal University,Bathinda
768,Sri Guru Ram Das University of Health Sciences,Qila Jiwan Singh
769,Suamandeep Vidyapeeth,Vadodara
770,National Sports University,Imphal
771,Kerala Kalamandalam,Cheruthuruthi
772,"University of Horticultural Sciences, Bagalkot",Bagalkot
773,Baba Ghulam Shah Badhshah University,Rajouri
774,Maharaja Agrasen University,Baddi
775,PDM University,Bahadurgarh
776,ITM Vocational University,Waghodia
777,MVN University,Palwal
778,Sri Devaraj Urs Academy of Higher Education and Research,Kolar
779,Dr. B.R. Ambedkar University,Etcherla
780,Institute of Advanced Research,Gandhinagar
781,Sabarmati University,Ahmedabad
782,Institute of Advanced Studies in Education,Sardarshahr
783,"Indian Institute of Information Technology, Manipur",Imphal
784,University of Patanjali,Haridwar
785,Uttarakhand Sanskrit University,Haridwar
786,Srinivas University,Mangalore
787,Seacom Skills University,Bolpur
788,Raja Mansingh Tomar Music and Arts University,Gwalior
789,Manav Bharti University,Solan
790,"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata
791,Sharnbasva University,Gulbarga
792,Kameshwar Singh Darbhanga Sanskrit University,Darbhanga
793,Jagan Nath University,Jhajjar
794,Baba Mastnath University,Rohtak
795,Assam Women's University,Jorhat
796,Shri Jagdishprasad Jhabrmal Tibrewala University,Jhunjhunu
797,Dr. Y.S.R. Horticultural University,Tadepalligudem
798,Manipur Technical University,Imphal
799,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,Bharsar
800,"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur
801,Bhartiya Skill Development University,Jaipur
802,Sai Nath University,Ranchi
803,"ICFAI University, Sikkim",Gangtok
804,Gujarat University of Transplantation Sciences,Ahmedabad
805,Sikkim Professional University,Gangtok
